,id,key,name,title,blurb,tags,partype,attack,defense,magic,difficulty,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,lane,Second lane,,18Health,18HealthRegen,18AttackSpeed,18AttackDamage,18Armor,18Spellblock
60,KogMaw,96,Kog'Maw,the Mouth of the Abyss,"Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it...","['Marksman', 'Mage']",Mana,8,2,5,6,565,85,325,40,330,24,3.25,30,0.5,500,3.75,0.55,8.75,0.7,0,0,61,3.11,2.65,0.665,Bot,,,2010,13.1,0.9645825,113.87,79.25,38.5
61,Leblanc,7,LeBlanc,the Deceiver,"Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone...","['Assassin', 'Mage']",Mana,1,4,10,9,528,92,334,50,340,21.88,3.5,30,0.5,525,7.5,0.55,6,0.8,0,0,54.88,3.5,1.4,0.625,Mid,,,2092,16.85,0.77375,114.38,81.38,38.5
62,LeeSin,64,Lee Sin,the Blind Monk,"A master of Ionia's ancient martial arts, Lee Sin is a principled fighter who channels the essence of the dragon spirit to face any challenge. Though he lost his sight many years ago, the warrior-monk has devoted his life to protecting his homeland...","['Fighter', 'Assassin']",Energy,8,5,3,6,575,85,200,0,345,33,3.7,32.1,1.25,125,7.5,0.7,50,0,0,0,70,3.7,3,0.651,Jg,,,2020,19.4,0.98301,132.9,95.9,53.35
63,Leona,89,Leona,the Radiant Dawn,"Imbued with the fire of the sun, Leona is a holy warrior of the Solari who defends Mount Targon with her Zenith Blade and the Shield of Daybreak. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her...","['Tank', 'Support']",Mana,4,8,3,4,576.16,87,302.2,40,335,47,3.6,32.1,1.25,125,8.5,0.85,6,0.8,0,0,60.04,3,2.9,0.625,Sup,,,2055.16,22.95,0.933125,111.04,108.2,53.35
64,Lillia,876,Lillia,the Bashful Bloom,"Intensely shy, the fae fawn Lillia skittishly wanders Ionia's forests. Hiding just out of sight of mortals?”whose mysterious natures have long captivated, but intimidated, her?”Lillia hopes to discover why their dreams no longer reach the ancient Dreaming...","['Fighter', 'Mage']",Mana,0,2,10,8,580,90,410,50,330,20,4,32.1,0.75,325,9,0.75,11.5,0.95,0,0,61,3.1,2.7,0.625,Jg,,,2110,21.75,0.911875,113.7,88,44.85
65,Lissandra,127,Lissandra,the Ice Witch,"Lissandra's magic twists the pure power of ice into something dark and terrible. With the force of her black ice, she does more than freeze?”she impales and crushes those who oppose her. To the terrified denizens of the north, she is known only as ''The...",['Mage'],Mana,2,5,8,6,550,90,475,30,325,22,3.7,30,0.5,550,7,0.55,8,0.4,0,0,53,2.7,1.36,0.656,Mid,,,2080,16.35,0.8076672,98.9,84.9,38.5
66,Lucian,236,Lucian,the Purifier,"Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeance?”but even with her return to...",['Marksman'],Mana,8,5,3,6,571,86,348.88,38,335,28,3,30,0.5,500,3.75,0.65,8.176,0.7,0,0,64,2.3,3.3,0.638,Bot,Mid,Top,2033,14.8,0.995918,103.1,79,38.5
67,Lulu,117,Lulu,the Fae Sorceress,"The yordle mage Lulu is known for conjuring dreamlike illusions and fanciful creatures as she roams Runeterra with her fairy companion Pix. Lulu shapes reality on a whim, warping the fabric of the world, and what she views as the constraints of this...","['Support', 'Mage']",Mana,4,5,7,5,525,74,350,55,330,29,3.7,30,0.5,550,6,0.6,11,0.6,0,0,47,2.6,2.25,0.625,Sup,,,1783,16.2,0.8640625,91.2,91.9,38.5
68,Lux,99,Lux,the Lady of Luminosity,"Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve...","['Mage', 'Support']",Mana,2,4,9,5,490,85,480,23.5,330,18.72,4,30,0.5,550,5.5,0.55,8,0.8,0,0,53.54,3.3,1,0.669,Sup,Mid,,1935,14.85,0.78273,109.64,86.72,38.5
69,Malphite,54,Malphite,Shard of the Monolith,"A massive creature of living stone, Malphite struggles to impose blessed order on a chaotic world. Birthed as a servitor-shard to an otherworldly obelisk known as the Monolith, he used his tremendous elemental strength to maintain and protect his...","['Tank', 'Fighter']",Mana,5,9,7,2,574.2,90,282.2,40,335,37,3.75,32.1,1.25,125,7,0.55,7.324,0.55,0,0,61.97,4,3.4,0.736,Top,Mid,Sup,2104.2,16.35,1.161408,129.97,100.75,53.35
70,Malzahar,90,Malzahar,the Prophet of the Void,"A zealous seer dedicated to the unification of all life, Malzahar truly believes the newly emergent Void to be the path to Runeterra's salvation. In the desert wastes of Shurima, he followed the voices that whispered in his mind, all the way to ancient...","['Mage', 'Assassin']",Mana,2,2,9,6,537,87,375,27.5,335,18,3.5,30,0.5,500,6,0.6,8,0.8,0,0,55,3,1.5,0.625,Mid,,,2016,16.2,0.784375,106,77.5,38.5
71,Maokai,57,Maokai,the Twisted Treant,"Maokai is a rageful, towering treant who fights the unnatural horrors of the Shadow Isles. He was twisted into a force of vengeance after a magical cataclysm destroyed his home, surviving undeath only through the Waters of Life infused within his...","['Tank', 'Mage']",Mana,3,8,6,3,565,95,375,43,335,39,4,32.1,1.25,125,5,0.75,7.2,0.6,0,0,63.54,3.3,2.125,0.8,Sup,Top,,2180,17.75,1.089,119.64,107,53.35
72,MasterYi,11,Master Yi,the Wuju Bladesman,"Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of...","['Assassin', 'Fighter']",Mana,10,4,2,4,598.56,92,250.56,42,355,33,3,32.1,1.25,125,7.5,0.65,7.256,0.45,0,0,66,3,2,0.679,Jg,Mid,,2162.56,18.55,0.90986,117,84,53.35
73,MissFortune,21,Miss Fortune,the Bounty Hunter,"A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her family?”an act she brutally...",['Marksman'],Mana,8,2,5,1,570,93,325.84,35,325,28,3,30,0.5,550,3.75,0.65,8.042,0.65,0,0,52,2.7,3,0.656,Bot,,,2151,14.8,0.99056,97.9,79,38.5
74,MonkeyKing,62,Wukong,the Monkey King,"Wukong is a vastayan trickster who uses his strength, agility, and intelligence to confuse his opponents and gain the upper hand. After finding a lifelong friend in the warrior known as Master Yi, Wukong became the last student of the ancient martial...","['Fighter', 'Tank']",Mana,8,5,2,3,540,85,300,45,345,31,3.5,28,1.25,175,4,0.65,8,0.65,0,0,68,4,3,0.711,Top,Jg,,1985,15.05,1.07361,136,90.5,49.25
75,Mordekaiser,82,Mordekaiser,the Iron Revenant,"Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powers?”but...",['Fighter'],Shield,4,6,7,4,575,90,100,0,335,37,3,32,1.25,175,5,0.75,0,0,0,0,61,4,1,0.625,Top,,,2105,17.75,0.73125,129,88,53.25
76,Morgana,25,Morgana,the Fallen,"Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from...","['Mage', 'Support']",Mana,1,6,8,1,560,90,340,60,335,25,3.8,30,0.5,450,5.5,0.4,11,0.4,0,0,56,3.5,1.53,0.625,Sup,,,2090,12.3,0.7875625,115.5,89.6,38.5
77,Nami,267,Nami,the Tidecaller,"A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred...","['Support', 'Mage']",Mana,4,3,7,5,475,74,365,43,335,29,4,30,0.5,550,5.5,0.55,11.5,0.4,0,0,51.208,3.1,2.61,0.644,Sup,,,1733,14.85,0.9297428,103.908,97,38.5
78,Nasus,75,Nasus,the Curator of the Sands,"Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient...","['Fighter', 'Tank']",Mana,7,5,6,6,561.2,90,325.6,42,350,34,3.5,32.1,1.25,125,9,0.9,7.44,0.5,0,0,67,3.5,3.48,0.638,Top,,,2091.2,24.3,1.0154408,126.5,93.5,53.35
79,Nautilus,111,Nautilus,the Titan of the Depths,"A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to...","['Tank', 'Fighter']",Mana,4,6,6,6,576.48,86,400,47,325,39,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,0,0,61,3.3,1,0.706,Sup,,,2038.48,17.85,0.82602,117.1,102.75,53.35
80,Neeko,518,Neeko,the Curious Chameleon,"Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where?”or who?”Neeko might be...","['Mage', 'Support']",Mana,1,1,9,5,540,90,450,30,340,21,4,30,0.5,550,7.5,0.75,7,0.7,0,0,48,2.5,3.5,0.625,Mid,,,2070,20.25,0.996875,90.5,89,38.5
81,Nidalee,76,Nidalee,the Bestial Huntress,"Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear...","['Assassin', 'Mage']",Mana,5,4,7,8,545,85,295.6,45,335,28,3.5,30,0.5,525,6,0.6,6,0.8,0,0,58,3.5,3.22,0.638,Jg,,,1990,16.2,0.9872412,117.5,87.5,38.5
82,Nocturne,56,Nocturne,the Eternal Nightmare,"A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking...","['Assassin', 'Fighter']",Mana,9,5,2,4,585,85,275,35,345,38,3.5,32.1,0.75,125,7,0.75,7,0.45,0,0,62,3.1,2.7,0.721,Jg,Mid,,2030,19.75,1.051939,114.7,97.5,44.85
83,Nunu,20,Nunu & Willump,the Boy and His Yeti,"Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster?”only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu...","['Tank', 'Fighter']",Mana,4,6,7,4,570,82,280,42,345,29,3,32.1,1.25,125,5,0.8,7,0.5,0,0,61,3,2.25,0.625,Jg,Mid,,1964,18.6,0.8640625,112,80,53.35
84,Olaf,2,Olaf,the Berserker,"An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passing?”a coward's fate, and a great...","['Fighter', 'Tank']",Mana,9,5,3,3,597.24,93,315.6,42,350,35,3,32.1,1.25,125,8.5,0.9,7.466,0.575,0,0,68,3.5,2.7,0.694,Jg,Top,,2178.24,23.8,1.012546,127.5,86,53.35
85,Orianna,61,Orianna,the Lady of Clockwork,"Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice...","['Mage', 'Support']",Mana,4,3,9,7,530,91,418,25,325,17.04,3,26,0.5,525,7,0.55,8,0.8,0,0,40.368,2.6,3.5,0.658,Mid,,,2077,16.35,1.04951,84.568,68.04,34.5
86,Ornn,516,Ornn,The Fire below the Mountain,"Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion...","['Tank', 'Fighter']",Mana,5,9,3,5,590,95,340.6,45,335,33,4,32.1,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625,Top,,,2205,24.3,0.8375,128.5,101,53.35
87,Pantheon,80,Pantheon,the Unbreakable Spear,"Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn...","['Fighter', 'Assassin']",Mana,9,4,3,4,580,95,317.12,31,355,40,3.75,28,1.25,175,10,0.65,7.356,0.45,0,0,64,3.3,2.95,0.644,Sup,Mid,,2195,21.05,0.966966,120.1,103.75,49.25
88,Poppy,78,Poppy,Keeper of the Hammer,"Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled ?œHero of Demacia,??said...","['Tank', 'Fighter']",Mana,6,7,2,6,540,90,280,40,345,38,3.5,32,1.25,125,8,0.8,7,0.7,0,0,64,4,2.5,0.625,Top,Jg,Sup,2070,21.6,0.890625,132,97.5,53.25
89,Pyke,555,Pyke,the Bloodharbor Ripper,"A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish??and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural...","['Support', 'Assassin']",Mana,9,3,1,7,600,90,415,50,330,45,3.5,32,1.25,150,7,0.5,8,1,0,0,62,2,2.5,0.667,Sup,Mid,,2130,15.5,0.950475,96,104.5,53.25
90,Qiyana,246,Qiyana,Empress of the Elements,"In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the...","['Assassin', 'Fighter']",Mana,0,2,4,8,590,90,320,50,335,28,3.5,32.1,1.25,150,8.5,0.65,8,0.7,0,0,64,3.1,2.1,0.625,Mid,,,2120,19.55,0.848125,116.7,87.5,53.35
91,Quinn,133,Quinn,Demacia's Wings,"Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two...","['Marksman', 'Assassin']",Mana,9,4,2,5,532.8,85,268.8,35,335,28,3.5,30,0.5,525,5.5,0.55,6.972,0.4,0,0,59,2.4,3.1,0.668,Top,,,1977.8,14.85,1.020036,99.8,87.5,38.5
92,Rakan,497,Rakan,The Charmer,"As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties...",['Support'],Mana,2,4,8,5,540,85,315,50,335,32,3.9,32.1,1.25,300,5,0.5,8.75,0.5,0,0,62,3.5,3,0.635,Sup,,,1985,13.5,0.95885,121.5,98.3,53.35
93,Rammus,33,Rammus,the Armordillo,"Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goes?”from demigod, to sacred oracle, to a mere beast...","['Tank', 'Fighter']",Mana,4,10,5,5,564.48,95,310.44,33,335,36,4.3,32.1,1.25,125,8,0.55,7.84,0.5,0,0,55.88,3.5,2.215,0.656,Jg,,,2179.48,17.35,0.9030168,115.38,109.1,53.35
94,RekSai,421,Rek'Sai,the Void Burrower,"An apex predator, Rek'Sai is a merciless Void-spawn that tunnels beneath the ground to ambush and devour unsuspecting prey. Her insatiable hunger has laid waste to entire regions of the once-great empire of Shurima?”merchants, traders, even armed...",['Fighter'],Rage,8,5,2,3,570,85,100,0,335,36,3.75,32.1,1.25,175,7.5,0.65,0,0,0,0,64,3,2,0.667,Jg,,,2015,18.55,0.89378,115,99.75,53.35
95,Renekton,58,Renekton,the Butcher of the Sands,"Renekton is a terrifying, rage-fueled Ascended being from the scorched deserts of Shurima. Once, he was his empire's most esteemed warrior, leading the nation's armies to countless victories. However, after the empire's fall, Renekton was entombed...","['Fighter', 'Tank']",Fury,8,5,2,3,575,87,100,0,345,35,4,32.1,1.25,125,8,0.75,0,0,0,0,69,3.75,2.75,0.665,Top,Mid,,2054,20.75,0.9758875,132.75,103,53.35
96,Rengar,107,Rengar,the Pridestalker,"Rengar is a ferocious vastayan trophy hunter who lives for the thrill of tracking down and killing dangerous creatures. He scours the world for the most fearsome beasts he can find, especially seeking any trace of Kha'Zix, the void creature who...","['Assassin', 'Fighter']",Ferocity,7,4,2,8,585,90,4,0,345,34,3,32.1,1.25,125,7,0.5,0,0,0,0,68,3,3,0.667,Top,Jg,,2115,15.5,1.00717,119,85,53.35
97,Riven,92,Riven,the Exile,"Once a swordmaster in the warhosts of Noxus, Riven is an expatriate in a land she previously tried to conquer. She rose through the ranks on the strength of her conviction and brutal efficiency, and was rewarded with a legendary runic blade and a...","['Fighter', 'Assassin']",None,8,5,1,8,560,86,0,0,340,33,3.2,32.1,1.25,125,8.5,0.5,0,0,0,0,64,3,3.5,0.625,Top,Mid,,2022,17,0.996875,115,87.4,53.35
98,Rumble,68,Rumble,the Mechanized Menace,"Rumble is a young inventor with a temper. Using nothing more than his own two hands and a heap of scrap, the feisty yordle constructed a colossal mech suit outfitted with an arsenal of electrified harpoons and incendiary rockets. Though others may scoff...","['Fighter', 'Mage']",Heat,3,6,8,10,589,85,100,0,345,31,3.5,32.1,1.25,125,8,0.6,0,0,0,0,61,3.2,1.85,0.644,Mid,Top,,2034,18.2,0.846538,115.4,90.5,53.35
99,Ryze,13,Ryze,the Rune Mage,"Widely considered one of the most adept sorcerers on Runeterra, Ryze is an ancient, hard-bitten archmage with an impossibly heavy burden to bear. Armed with immense arcane power and a boundless constitution, he tirelessly hunts for World Runes?”fragments...","['Mage', 'Fighter']",Mana,2,2,10,7,575,98,300,50,340,22,3,36,0.5,550,8,0.8,8,1,0,0,58,3,2.112,0.625,Mid,Top,,2241,21.6,0.8494,109,73,44.5
100,Samira,360,Samira,the Desert Rose,"Samira stares death in the eye with unyielding confidence, seeking thrill wherever she goes. After her Shuriman home was destroyed as a child, Samira found her true calling in Noxus, where she built a reputation as a stylish daredevil taking on...",['Marksman'],Mana,8,5,3,6,530,88,348.88,38,335,26,3,30,0.5,500,3.25,0.55,8.176,0.7,0,0,57,2.3,3.3,0.658,Bot,,,2026,12.6,1.027138,96.1,77,38.5
101,Sejuani,113,Sejuani,Fury of the North,"Sejuani is the brutal, unforgiving Iceborn warmother of the Winter's Claw, one of the most feared tribes of the Freljord. Her people's survival is a constant, desperate battle against the elements, forcing them to raid Noxians, Demacians, and Avarosans...","['Tank', 'Fighter']",Mana,5,7,6,4,560,100,400,40,340,34,4.25,32.1,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688,Jg,,,2260,25.5,1.09736,134,106.25,53.35
102,Senna,235,Senna,the Redeemer,"Cursed from childhood to be haunted by the supernatural Black Mist, Senna joined a sacred order known as the Sentinels of Light, and fiercely fought back?”only to be killed, her soul imprisoned in a lantern by the cruel wraith Thresh. But refusing to...","['Marksman', 'Support']",Mana,7,2,6,7,520,75,350,45,330,28,3.5,30,0.5,600,3.5,0.55,11.5,0.4,0,0,50,0,4,0.625,Sup,Bot,,1795,12.85,1.05,50,87.5,38.5
103,Seraphine,147,Seraphine,the Starry-Eyed Songstress,"Born in Piltover to Zaunite parents, Seraphine can hear the souls of others?”the world sings to her, and she sings back. Though these sounds overwhelmed her in her youth, she now draws on them for inspiration, turning the chaos into a symphony. She...","['Mage', 'Support']",Mana,0,0,0,0,500,80,440,40,325,19,3,30,0.5,525,6.5,0.6,10,1,0,0,55,3,1,0.669,Sup,Mid,,1860,16.7,0.78273,106,70,38.5
104,Sett,875,Sett,the Boss,"A leader of Ionia's growing criminal underworld, Sett rose to prominence in the wake of the war with Noxus. Though he began as a humble challenger in the fighting pits of Navori, he quickly gained notoriety for his savage strength, and his ability to...","['Fighter', 'Tank']",Grit,8,5,1,2,600,93,0,0,340,33,4,32,1.25,125,7,0.5,0,0,0,0,60,4,1.75,0.625,Top,Sup,Mid,2181,15.5,0.8109375,128,101,53.25
105,Shaco,35,Shaco,the Demon Jester,"Crafted long ago as a plaything for a lonely prince, the enchanted marionette Shaco now delights in murder and mayhem. Corrupted by dark magic and the loss of his beloved charge, the once-kind puppet finds pleasure only in the misery of the poor souls...",['Assassin'],Mana,8,4,6,9,587,89,297.2,40,350,30,3.5,32.1,1.25,125,8.5,0.55,7.156,0.45,0,0,63,3,3,0.694,Jg,Sup,,2100,17.85,1.04794,114,89.5,53.35
106,Shen,98,Shen,the Eye of Twilight,"Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit...",['Tank'],Energy,3,9,3,4,540,85,400,0,340,34,3,32.1,1.25,125,8.5,0.75,50,0,0,0,60,3,3,0.751,Top,Sup,Jg,1985,21.25,1.13401,111,85,53.35
107,Shyvana,102,Shyvana,the Half-Dragon,"Shyvana is a creature with the magic of a rune shard burning within her heart. Though she often appears humanoid, she can take her true form as a fearsome dragon, incinerating her foes with fiery breath. Having saved the life of the crown prince Jarvan...","['Fighter', 'Tank']",Fury,8,6,3,4,595,95,100,0,350,38,3.35,32.1,1.25,125,8.5,0.8,0,0,0,0,66,3.4,2.5,0.658,Jg,,,2210,22.1,0.93765,123.8,94.95,53.35
108,Singed,27,Singed,the Mad Chemist,"Singed is a Zaunite alchemist of unmatched intellect, who has devoted his life to pushing the boundaries of knowledge?”with no price, even his own sanity, too high to pay. Is there a method to his madness? His concoctions rarely fail, but it appears to...","['Tank', 'Fighter']",Mana,4,8,7,5,580,85,330,45,345,34,3.5,32.1,1.25,125,9.5,0.55,7.5,0.55,0,0,63,3.375,1.9,0.613,Top,,,2025,18.85,0.810999,120.375,93.5,53.35
109,Sion,14,Sion,The Undead Juggernaut,"A war hero from a bygone era, Sion was revered in Noxus for choking the life out of a Demacian king with his bare hands?”but, denied oblivion, he was resurrected to serve his empire even in death. His indiscriminate slaughter claimed all who stood in his...","['Tank', 'Fighter']",Mana,5,9,3,5,545,73,330,42,345,32,3,32.1,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679,Top,,,1786,21.1,0.829059,136,83,53.35
110,Sivir,15,Sivir,the Battle Mistress,"Sivir is a renowned fortune hunter and mercenary captain who plies her trade in the deserts of Shurima. Armed with her legendary jeweled crossblade, she has fought and won countless battles for those who can afford her exorbitant price. Known for her...",['Marksman'],Mana,9,3,1,4,562,90,284,50,335,26,3.25,30,0.5,500,3.25,0.55,8,0.9,0,0,63,3,1.6,0.625,Bot,,,2092,12.6,0.795,114,81.25,38.5
111,Skarner,72,Skarner,the Crystal Vanguard,"Skarner is an immense crystalline scorpion from a hidden valley in Shurima. Part of the ancient Brackern race, Skarner and his kin are known for their great wisdom and deep connection to the land, as their souls are fused with powerful life crystals...","['Fighter', 'Tank']",Mana,7,6,5,5,601.28,90,320,40,335,38,3.8,32.1,1.25,125,9,0.85,7.206,0.45,0,0,65,4.5,2.1,0.625,Jg,,,2131.28,23.45,0.848125,141.5,102.6,53.35
112,Sona,37,Sona,Maven of the Strings,"Sona is Demacia's foremost virtuoso of the stringed etwahl, speaking only through her graceful chords and vibrant arias. This genteel manner has endeared her to the highborn, though others suspect her spellbinding melodies to actually emanate magic?”a...","['Support', 'Mage']",Mana,5,2,8,4,480,77,340,45,325,28,3.3,30,0.5,550,5.5,0.55,11.5,0.4,0,0,49,3,2.3,0.644,Sup,,,1789,14.85,0.895804,100,84.1,38.5
113,Soraka,16,Soraka,the Starchild,"A wanderer from the celestial dimensions beyond Mount Targon, Soraka gave up her immortality to protect the mortal races from their own more violent instincts. She endeavors to spread the virtues of compassion and mercy to everyone she meets?”even...","['Support', 'Mage']",Mana,2,5,7,3,535,74,425,40,325,32,3.8,30,0.5,550,2.5,0.5,11.5,0.4,0,0,50,3,2.14,0.625,Sup,,,1793,11,0.852375,101,96.6,38.5
114,Swain,50,Swain,the Noxian Grand General,"Jericho Swain is the visionary ruler of Noxus, an expansionist nation that reveres only strength. Though he was cast down and crippled in the Ionian wars, his left arm severed, he seized control of the empire with ruthless determination??and a new...","['Mage', 'Fighter']",Mana,2,6,9,8,525,85,468,28.5,325,22.72,4,30,0.5,525,7,0.65,8,0.8,0,0,58,2.7,2.11,0.625,Sup,Bot,Mid,1970,18.05,0.8491875,103.9,90.72,38.5
115,Sylas,517,Sylas,the Unshackled,"Raised in one of Demacia's lesser quarters, Sylas of Dregbourne has come to symbolize the darker side of the Great City. As a boy, his ability to root out hidden sorcery caught the attention of the notorious mageseekers, who eventually imprisoned him...","['Mage', 'Assassin']",Mana,3,4,8,5,525,115,280,50,340,27,4,32,1.75,175,9,0.9,7,0.8,0,0,61,3,3.5,0.645,Mid,,,2480,24.3,1.028775,112,95,61.75
116,Syndra,134,Syndra,the Dark Sovereign,"Syndra is a fearsome Ionian mage with incredible power at her command. As a child, she disturbed the village elders with her reckless and wild magic. She was sent away to be taught greater control, but eventually discovered her supposed mentor was...","['Mage', 'Support']",Mana,2,3,9,8,523,90,480,40,330,24.712,3.4,30,0.5,550,6.5,0.6,8,0.8,0,0,53.872,2.9,2,0.625,Mid,,,2053,16.7,0.8375,103.172,82.512,38.5
117,TahmKench,223,Tahm Kench,the River King,"Known by many names throughout history, the demon Tahm Kench travels the waterways of Runeterra, feeding his insatiable appetite with the misery of others. Though he may appear singularly charming and proud, he swaggers through the physical realm like a...","['Support', 'Tank']",Mana,3,9,6,5,600,100,325,40,335,47,3.5,32.1,1.25,175,6.5,0.55,8,1,0,0,56,3.2,2.5,0.658,Sup,,,2300,15.85,0.93765,110.4,106.5,53.35
118,Taliyah,163,Taliyah,the Stoneweaver,"Taliyah is a nomadic mage from Shurima, torn between teenage wonder and adult responsibility. She has crossed nearly all of Valoran on a journey to learn the true nature of her growing powers, though more recently she has returned to protect her tribe...","['Mage', 'Support']",Mana,1,7,8,5,532,90,425,30,335,20,3.5,30,0.5,525,7,0.7,9.335,0.85,0,0,58,3.3,1.36,0.625,Jg,,,2062,18.9,0.7695,114.1,79.5,38.5
119,Talon,91,Talon,the Blade's Shadow,"Talon is the knife in the darkness, a merciless killer able to strike without warning and escape before any alarm is raised. He carved out a dangerous reputation on the brutal streets of Noxus, where he was forced to fight, kill, and steal to survive...",['Assassin'],Mana,9,3,1,7,588,95,377.2,37,335,30,3.5,39,1.25,125,8.5,0.75,7.6,0.8,0,0,68,3.1,2.9,0.625,Mid,,,2203,21.25,0.933125,120.7,89.5,60.25
120,Taric,44,Taric,the Shield of Valoran,"Taric is the Aspect of the Protector, wielding incredible power as Runeterra's guardian of life, love, and beauty. Shamed by a dereliction of duty and exiled from his homeland Demacia, Taric ascended Mount Targon to find redemption, only to discover a...","['Support', 'Fighter']",Mana,4,8,5,3,575,85,300,60,340,40,3.4,32.1,1.25,150,6,0.5,8.5,0.8,0,0,55,3.5,2,0.625,Sup,,,2020,14.5,0.8375,114.5,97.8,53.35
